Tweet,Message,match,polarity
62, arifalvi respected president plz give summer break to university students online classes is loss of our education  ,"break,loss",negative
63,  le  mars    message aux ministres de l ducation de toutes les provinces canadiennes  alors  ,,neutral
64,  abdulqadeer   why university students want semester break  students rejected online education   please take seriously we need govt and,"break,rejected",negative
65,  research purdue  purdues has launched its call center to provide information on what covid   means for the university in indiana  fro,,neutral
66, ericengels if slovenia can give free education  i think canada could do the same,free,positive
67,  jjsanchz  humbled to sign my nli and continue my education and baseball career at  westcliff university  i want to thank head coach da,thank,positive
68,  yessirtns  only essential services to be available   schools  colleges  university all type of education is missing from the essential,available,positive
69,university of east anglia cancels graduations due to coronavirus outbreak  ,outbreak,negative
70,hey pumpkin negligible   mortality numbers vs covid i can see why you miss these things  no senior education   ,miss,negative
71, senkamalaharris many parents have taken out loans for their children s university education   are parent student l  ,,neutral
72,  asu students have tested positive for covid    university says  ,positive,positive
73,  smallbusinessbc  if you are a business that can supply products and services to support canadas response to covid    join our webinar,support,positive
74, tarekfatah i can t get this  how the hell in universe someone can be so stupid after persuading doctorate  either  ,"hell,stupid",negative
75,  benridenumd  university of minnesota is hiring  tenure track special education  ,,neutral
76,whether you re a  union  school or    we re still here to help with all the essential  you  ,,neutral
77,here is another piece from isolation  to  biophysicalsoc for a kind invitation to put this together   coronaviru  ,isolation,negative
78,this is going to make all the hysteria about online learning by the ontario teachers  unions look like what it was  ,"like,hysteria",neutral
79,  newsminer  as the university resumed classes this week and education began through distance delivery  students and teachers have still,,neutral
80,  thesarangbingsu  it is confirmed  universities will be closed until the end of this spring term in my country  i do not know how we wil,,neutral
81,  lovelyticsdata  if you are interested in learning how you can use alteryx to enable your university to make better decisions with their,better,positive
82,  lubottom  the open university also offer free courses  sans accreditation  ,free,positive
83,  itsjennychen  in fact not until i return to further my education in an university setting that i saw canadian non chinese male professo,,neutral
84,  resistmovetrm  liberty university welcomes students back to campus despite coronavirus outbreak    ,"liberty,outbreak",neutral
85,  pjiminluvv  bts will teach us korean hangul txt will teach us physical education gfriend will teach us math waw bighit university is,,neutral
86,the open university also offer free courses  sans accreditation  ,free,positive
87, mattyglesias unfortunately we have a control group  ,unfortunately,negative
88,if you are a business that can supply products and services to support canadas response to covid    join our webi  ,support,positive
89, diverse  issues in higher education   diverseissues  recently featured a story on george mason university s plan  ,issues,negative
90,purdues has launched its call center to provide information on what covid   means for the university in indiana   ,,neutral
91,  ed kidd   the education world has been changed forever   good read on the morning we launch  ridley college remote learning     an,good,positive
92,  observerug  nche revokes nsaka  kayiwa university licences  the revocation of the licence does not affect the validity of any certifica,,neutral
93,in his final year  he co founded an ngo named edenworld initiative which carries out climate change advocacy and aw  ,,neutral
94,  rwpusa  i m strong supporter of the sierra club and similar organizations  but is a public university the sierra club  or should we foc,"strong,supporter",positive
95,  cardiffucu  staff survey  cardiffuni shows total collapse in trust  amp  confidence in management  against a backdrop of scary levels of b,"confidence,trust,collapse,scary",neutral
96,first  the dilemma is about having a trustworthy team i would choose any top ai dev with specialism in hamiltonia  ,"top,trustworthy,dilemma",positive
97,  otipemsiw  i know that education can only take us so far  but it is really cool to see students from all disciplines and outside the un,cool,positive
98, saint joseph s university s kinney center for autism education and support is developing a series of videos that w  ,"saint,support",positive
99, radiosung plus you get the same education for less   and you get priority admission into whatever florida univers  ,,neutral
100,  marko spiffy  nelson mandela stated education is the most powerful weapon which you can use to change the world  knowledge is power ,powerful,positive
101,  thatsilvalining  with charter schools are least legislated  amp cap lofted  ab is poised to introduce online virtual charter schools  the,poised,positive
102,alex krumm and university president wendy wintersteen agreed that his employment was no longer  in their best inter  ,best,positive
103,  tengkuamera  education is not just about going to university and getting a degree  it is about widening our knowledge and learning skil,,neutral
104,  zikokomag  the subject of this week s  alutanchill is  the femii  a   level student at unilag and he tells us about how he wanted to,,neutral
105,training and education free online ivy league university courses   ,free,positive
106,tried explaining this to a psychology student recently  her response  don t speak to me about this again   took  ,,neutral
107,education doesn t make intellectuals jamia millia professor fails   non muslim students  university suspends him  ,fails,negative
108,education is not just about going to university and getting a degree  it is about widening our knowledge and learni  ,,neutral
109,  edcivilrights  today   entered into a resolution agreement with penn state university to resolve title ix violations and concerns o,concerns,negative
110,canada is giving everyone home from work  k  and has already been paying for healthcare and education  but the us  ,work,positive
111,  jack brennan   i am excited to announce my verbal commitment to play d  soccer and continue my education at depaul university  i would,"commitment,excited",positive
112,i know that education can only take us so far  but it is really cool to see students from all disciplines and outsi  ,cool,positive
113,  manmayal    the german ministry of education and university hospitals have come together to share knowledge about the new coronavirus,,neutral
114, constanceiloh wholeheartedly agree  the community college education i received was incredibly rigorous  when i tra  ,"incredibly,wholeheartedly",positive
115,more initiatives toward virtual learning    ,,neutral
116,   une agora virtuelle a t cre pour sortir la jeunesse autochtone de son isolement forc  ,,neutral
117, ericengels then why is the number of doctors per capita the same in the us and canada  it s much more complicated than cost of education ,complicated,negative
118,  xodanix   native ppl do not get college for free even though education was promised in the treaties for the stolen land everyone in thi,"free,promised,stolen",positive
119,graduation rate for native students surges at the university of minnesota   ,,neutral
120, amp   the education world has been turned upside down  online learning may reshape the classroom  via  globeandmail  ,,neutral
121,  educause     implications essay  egyptian    open education might help egyptian higher ed address inequities i,inequities,negative
122,  keanuniversity  as covid   continues to disrupt many aspects of life  the university has decided to implement optional pass fail gra,"disrupt,fail",negative
123,  cisco  teachers   reach your students   no matter where they are       northernvtu   ,,neutral
124,santa clara university is looking for teammates like you  see our latest  job openings  including  senior  ,like,positive
125,please raise the voice for this issue of students  it is not the issue of a single department of any university  it  ,issue,negative
126,in fact not until i return to further my education in an university setting that i saw canadian non chinese male pr  ,,neutral
127, tommymc  hi mr  mcglinnen  i had you for  th grade history and graduated in    i m currently a senior at oakla  ,,neutral
128,  janebertrand   yes  indeed  anniekidder in canada we need to protect public education and ramp up  along with other economic,protect,positive
129,  restlessnews   poppij  co rapunzel   stevejetcity  hey butter  chieki  riseup moretime  agavecorn  garyd   mooncatadams  zulaqi  cyn ,,neutral
130,this is also the reason i feel like i ll never be able to work a part time job or have a gym routine or literally a  ,"like,work",positive
131,  mmeisacote   the education world has been turned upside down  online learning may reshape the classroom    ht,,neutral
132,usask has a long history of distance education  as the idea of bringing the university to the people was one of its  ,,neutral
133,le lieu de convergence des jeunes  en priode de confinement  ,,neutral
134,  alamgir   honourable federal minister of education  shafqat mahmood  as the government announced to further extend the holidays till,,neutral
135,get the tools to serve diverse populations of young children and their families with a master s degree from the uni  ,master,positive
136, sadiestewart   westernfreedom  otagograd  sunlorrie  anthonyfurey  sflecce i dont think you understand the diffe  ,,neutral
137,please see this postdoc opportunity in   with dr  palmachillon  this is a great group working on  ,great,positive
138,viterbo university made a donation thursday of medical supplies to mayo clinic health system franciscan healthcare   ,,neutral
139,our satisfaction remains in customer satisfaction  new     starcustomer review on quantitative research method  ,,neutral
140,today   entered into a resolution agreement with penn state university to resolve title ix violations and conce  ,,neutral
141,i m not paying  k for a fucking online degree  the value of university for me comes from the resources and support  ,"support,fucking",neutral
142,only essential services to be available   schools  colleges  university all type of education is missing from the  ,available,positive
143, sadiestewart   westernfreedom  otagograd  sunlorrie  anthonyfurey  sflecce ok ask the hundreds of teenagers who    ,,neutral
144,  tamuccconhs  ultimately  social distancing will protect our entire community  dr  bunny forgione  interim dean in the college of nursi,protect,positive
145,   tohoku university makes history  tops   japan university ranking  ,tops,positive
146, deepwatermike one might flip this around  the real contributions of university food service workers are not the me  ,,neutral
147,  allybeez  nelson mandela stated education is the most powerful weapon which you can use to change the world  knowledge is power  ,powerful,positive
148,  isuathletes  congrats to  gwynnewright with  cyclonetrackxc and dava liva  divergirl   with  cyclonesd on being accepted into graduate,,neutral
149,only essential services are available at this time schools  colleges  university and all type of education is miss  ,"available,miss",neutral
150,   have a look  ss   robotic process automation at the university of applied sciences in m  ,,neutral
151,interested in continuing your education online   reach out to luke beach and our rochester university admissions te  ,,neutral
152,natalia martirosova   oeu identity system       ,,neutral
153,l onu appelle  librer des dtenus pour viter des ravages en prison ils ont besoin d exterminateurs pour s intro  ,prison,negative
154,  eyeonthearctic  we want to support learning from home  and to encourage people to use this time to come together and strengthen our  ,"encourage,support",positive
155, ,,neutral
156,  wilberforce u  thank you mr  mark wilson and chime solutions for your gift to wilberforce university  for press release information htt,thank,positive
157,uspoultry recently awarded a      student recruiting grant to the university of north georgia  this grant was mad  ,"awarded,mad",neutral
158, borisjohnson can we address university level students now   i study music in brighton and if i wanted to study fro  ,,neutral
159,looking for some  education  oligopro has got your back   swipe left to check out more   ,swipe,negative
160,i am in favour of online education but  not considering it equivalent to the education which has to be delivered in  ,favour,positive
161,  piper hankins  very excited and blessed to announce that ive decided to further my education and softball career at lamar university ,excited,positive
162,  worldbrandesign  natalia martirosova   oeu identity system       ,,neutral
163,it s not only about education for some kids it s a matter of life  harlem schools president geoffrey canada discuss  ,,neutral
164,schools  colleges  university  all type of education is missing from the essential list i just realized  how many  ,,neutral
165,  megan c k  un petit message aux parents   faites vous confiance  dans votre quotidien  vous crez des expriences d apprentissage authe,,neutral
166, victorscarpa okrs are perfect for so many industries  education included  we have two unique case studies  too   ,perfect,positive
167,everyone  quarantine ministery of education  go online government  we have some inportant preventative measures tea  ,,neutral
168,  admissionsjcsu  did you know johnson c  smith university ranks  on the  sreducationgrp s r education groups   best online college,best,positive
169,online learning is poised to transform public education across canada as provinces and school boards scramble to co  ,"poised,scramble",neutral
170,  wvuabroad  we have some happy news to brighten up your thursday  we d like to introduce to you our newest education abroad coordinator ,"brighten,happy,like",positive
171,higher education is often regarded as a door to a better future  however  for  youths  having fled war and  ,better,positive
172,isage info session  tomorrow at    a unique bridging program for  in health care  social work and educat  ,work,positive
173,  alyssav   im so blessed to announce that i am going to be furthering my education and soccer career at st  marys university   than,,neutral
174,a   study carried out by university college londons institute of education found that just    of predicted a level results are correct ,correct,positive
175, cbcqueenspark  and  lying about budget numbers  that s crazy talk  they would never oh  wait  ,"crazy,lying",negative
176,revati masilamani is with the center for science education  tufts university school of medicine  usa   check out t  ,,neutral
177,  hassambakhtiar  what dou you think   we go to university  just for classes  no we go for grooming  we go for a practical education ,,neutral
178,  newshen   gusto ko ring itanong kung saang university balak mag enroll  dito o sa ibang bansa  for i want you to have the best educat,"best,gusto",positive
179, drrpnishank  narendramodi  amitshah  pmoindia  hmoindia  hrdministry  mygovindia  transformindia  pib india  ,,neutral
180,this education job might be a great fit for you  click the link in our bio to see it and more  adjunct   elementary  ,great,positive
181,  fordtuderrell  nelson mandela stated education is the most powerful weapon which you can use to change the world  knowledge is power ,powerful,positive
182,he even applied and wrote to harvard university ten times about being admitted and got rejected each time  this was  ,rejected,negative
183, the education world has been turned upside down   via    ,,neutral
184, language is key in all of our teachings  land based learning must include language component  educator says    ,,neutral
185,  damianprosa  from a young age they condition you to believe that university education is the only path to a good life they never tell,good,positive
186, bergaraofrivia i hope you dont let this jerk get you down  also wow  university huh look at you with that high  ,"wow,jerk",neutral
187,  mediasmarts  how to keep students on top of their studies while protective pandemic measures are keeping them out of school is one of t,"protective,top",positive
188,my wife has an education degree   yrs university  but never wanted to teach     week of home schooling our   and i  ,,neutral
189,judge  counting wayne state university president as part of board for quorum is legal   via  freep,,neutral
190,coach spotlight  reagan washington     degree pursuing  m ed  in school counseling     degree earned  b a  in engli  ,,neutral
191,  chinadaily   china s guangzhou medical university delivered     surgical masks to the affiliated hospital of universit,,neutral
192,vanderbilt university medical center is hiring in    tn  read about our latest  job opening via  ,,neutral
193,  cheriinnn  instead of receiving online education  my university sent me  puzzles and netflix recomendations ,,neutral
194,brown university is looking for teammates like you  see our latest  job openings  including  assistant di  ,like,positive
195,  jamilanwarab    glimpse of faculty of education university of malakand     ,,neutral
196, chrisevans  time congratulations  this will be a great platform for people to gain information  and education on i  ,"congratulations,gain,great",positive
197,  dontwalkrun  why does a federally chartered private university for the education of the deaf and hard of hearing need additional funds ,"deaf,hard",negative
198, nikitaov   glamlifeguru  usashl y  niaalcazar   realdoctormike so you re in the medical field  which i hope mea  ,,neutral
199,  calphonso  the education world has been turned upside down  online learning may reshape the classroom  ,,neutral
200,simon blouin reoit le prix de la meilleure thse de doctorat en astrophysique au canada  umontreal     ,,neutral
201,  unlresearch   bret blackman  vp for information technology  said he s confident university servers will perform to meet the needs,confident,positive
202, dustyfbaker  roxygirl   allstros  nhastrosfan  espn its a public university idiot  at least i am pursuing an e  ,idiot,negative
203,canada  cibt education group purchases development land     cibteducation  ,,neutral
204,nelson mandela stated education is the most powerful weapon which you can use to change the world  knowledge is p  ,powerful,positive
205, baby blu   michaeljfollett  scottm   repmattgaetz the funding is not related to the hospital as one of only t  ,,neutral
206,  oisepepper the education world has been turned upside down  online learning may reshape the c  ,,neutral
207, endvawnetwork  rosiebarton women fleeing violence   timeline infinite   global pandemic unspoken   trickle down ec  ,fleeing,negative
208,canadian mennonite university  cmu  is the first education facility in manitoba to officially provide a pass no gra  ,,neutral
209,  edmondsun  as much neededmedical suppliesdwindle inhospitals due to the current covid   virus pandemic  the university of central o,virus,negative
210,  gfhf   keynote gert biesta   in the impulse society  for a university that teaches     ,,neutral
211, markerbart  styx official  berniesanders and how about italy or south korea stop looking at canada because its  ,,neutral
212,we have some happy news to brighten up your thursday  we d like to introduce to you our newest education abroad coo  ,"brighten,happy,like",positive
213,students complaining about the online education i wish could get a chance to see how hard is their university manag  ,"complaining,hard",negative
214,  dramirpakdel  every albertan agrees that dr  hinshaw is a treasure  she symbolizes alberta s world class healthcare system and has comp,treasure,positive
215,  tyshacholic  crazy how in crisis the rules can change  doctors with foreign countries education are now qualified worldwide  yet if the,"qualified,crazy,crisis",negative
216, bbcnews my answer to our shortage of doctors suitable applicants willing to agree to work with the nhs for a presc  ,"suitable,willing,work,shortage",positive
217,as much neededmedical suppliesdwindle inhospitals due to the current covid   virus pandemic  the university of  ,virus,negative
218,  child care now  canada s early childhood education and child care workforce should take note of this advice from economist  davidmaccdn,,neutral
219,here is a list of free online educational activities for kids to keep them learning     ,free,positive
220, bbc haveyoursay  i am a full time masters student at university but i work as a freelance translator  to help supp  ,"masters,work",positive
221,respected fedral education minister sahib pakistan subject  application for delay  online classes onwhatsapp  due t  ,delay,negative
222,  windsor csd  it s the first of our senior shout outs  shannon phillips will attend alfred university in the fall  she will major in his,fall,negative
223,  aisconaty  good morning yr   pupils  stceciliasderry  please will you log into careers education  google classroom   codes are on the,good,positive
224,  lancehouston  breaking  u s  secretary of education betsy devos announced today that  ocr  is requiring major changes at pennsylvania,breaking,negative
225,university world news africa posing such good questions for  during this time  not least those raised by a  ,good,positive
226,  mecsdspartans  congrats to meredith rose    meredith will attend st  lawrence university in the fall and major in educatio,fall,negative
227,breaking  u s  secretary of education betsy devos announced today that  ocr  is requiring major changes at pennsyl  ,breaking,negative
228,  raee   nelson mandela stated education is the most powerful weapon which you can use to change the world  knowledge is power   el,powerful,positive
229,are you dedicated to making a difference in the well being of all arkansans  come join our team here at uams   ,"dedicated,well",positive
230,  jones mattryan  most universities are having faculty and staff work from home when possible  but not hu   ,work,positive
231,  champetheater  congrats to gabby who will be attending pace university and pursuing a degree in elementary education  gabby has a wonde,,neutral
232,  radarforpr  as well as oxford  cambridge and russell group institutions  learners from  colegcambria are looking overseas for a higher,well,positive
233,  wsjmattd   the quality of local journalism being produced in these crazy times has been next level  latest example  ,crazy,negative
234,  shoaibq   education is not just about going to university and getting a degree  it is about widening our knowledge and learning,,neutral
235,augusta university details student refund plan for spring    ,refund,positive
236,   implications essay  egyptian    open education might help egyptian higher ed address in  ,,neutral
237,customised us university advisory guidance   call ed for expert advice so that you have all the information you nee  ,guidance,positive
238, the  hbcu not what the explanation from doe says unless im reading it incorrectly  ,incorrectly,negative
239,  wjbf  due to classes being moved online this semester  fees that cover face to face services will be refunded on a pro rated basis   ht,refunded,positive
240,instead of receiving online education  my university sent me  puzzles and netflix recomendations ,,neutral
241,the german ministry of education and university hospitals have come together to share knowledge about the new coron  ,,neutral
242,  alliekirkman    iusouthbend is providing free    hour wi fi access to students and the general public who may not have internet conn,free,positive
243,umichigannews   urcmich  amid the covid   crisis  michigan s three research universities are fortunate to be led  ,"fortunate,led,crisis",positive
244,  madisondotcom   its important to remember  no one person  country  or ethnicity created this pandemicdisease does not discriminate ,"important,discriminate",neutral
245, less than one hour to go  have you considered postgraduate study  want to ask the experts sign up and join us  ,,neutral
246,  utrechtuni     based on the cabinet s measures  we as executive board have decided that all university education and testin,,neutral
247,the quality of local journalism being produced in these crazy times has been next level  latest example  ,crazy,negative
248, shafqat mahmood then how can you say it is summer vaccations if you are making us take these online classes which  ,,neutral
249,the university will hold a virtual town hall for students and their families to answer questions about remote educa  ,,neutral
250,congrats to gabby who will be attending pace university and pursuing a degree in elementary education  gabby has a  ,,neutral
251,purdue university to deliver  all of the pomp and circumstance  of commencement ceremony remotely  ,,neutral
252,could we expect a second outbreak of covid   cases   scotttalking talks to dr anna banerji  md mph frcpc dtm amp h  fa  ,outbreak,negative
253,as covid   continues to disrupt many aspects of life  the university has decided to implement optional pass fail  ,"disrupt,fail",negative
254,congrats to meredith rose    meredith will attend st  lawrence university in the fall and major in edu  ,fall,negative
255,  tundetash  top    sites to learn excel for free  sites for free online education  sites for your career  sites to review your re,"excel,free,top",positive
256, adilabbasiary plz raise voice because we are university student we are here to learn practically which is not poss  ,,neutral
257, spoiled luhbrat nelson mandela stated education is the most powerful weapon which you can use to change the world  ,"powerful,spoiled",neutral
258,did you know johnson c  smith university ranks  on the  sreducationgrp s r education groups   best online col  ,best,positive
259, its important to remember  no one person  country  or ethnicity created this pandemicdisease does not discrimina  ,important,positive
260,  lachinafina  zoom university can suck it  all of these schools are trippen if they think students are just gonna get on some online cla,suck,negative
261,holocaust education initiative releases first set of free instructional material   penn state university free acces  ,free,positive
262,  wistatejournal   its important to remember  no one person  country  or ethnicity created this pandemicdisease does not discriminate ,"important,discriminate",neutral
263,excited to have been offered a place at university of exeter to study my ma in education  educational leadership  a  ,excited,positive
264, gavreilly additional ebooks for public libraries is really great  similar support for online learning reso  ,"great,support",positive
265,now s the perfect time to catch up on earning some ceu s from the comfort of your own home  focal point offers   co  ,"comfort,perfect",positive
266,  proethicalefa  pro academy  proethicalefa in partnership  tmuk news   shared team house and food uefa pro licensed training,,neutral
267,  urcmich  amid the covid   crisis  michigan s three research universities are fortunate to be led by doctors michiganstateu s samuel,"fortunate,led,crisis",positive
268, oneducation  oneducation  sflecce  is ridiculously boring with very little content that s useful for s  ,"useful,boring,ridiculously",negative
269,  samrah    shafqat mahmood education is not just about going to university and getting a degree  it is about widening our knowledge a,,neutral
270, iusouthbend is providing free    hour wi fi access to students and the general public who may not have internet  ,free,positive
271, bobrae  its never been done before is too often the fallback excuse in canada  now we need not just analytical  ,excuse,negative
272,  simonhayhoe  university of bath s department of education is producing blogs for people with children at home  this is the first  on su,,neutral
273,  oneabovall  only essential services to be available   schools  colleges  university  all type of education is missing from the essent,available,positive
274, shafqat mahmood education is not just about going to university and getting a degree  it is about widening our kno  ,,neutral
275,  saeedammra  we reject online system of education it s not useful to us it doesn t make any sense   we paid university not for onli,"useful,reject",neutral
276,notre nouveau guide pdagogique est appropri pour les lves de fls et dalf  et aborde les sujets qui se trouvent  ,,neutral
277,we reject online system of education it s not useful to us it doesn t make any sense   we paid university not  ,"useful,reject",neutral
278,  oilsandsaction  the energy industry is a major economic engine for canada and supports hundreds of thousands of families across the cou,supports,positive
279,wtf       does  know the reality of how much a college education costs even at a state university  inc  ,,neutral
280,education is   way you can recession proof your career apply to key west university today for a    online educati  ,recession,negative
281,  ubcdeaneduc  thank you  dr  milner bolotin  ubc edcp  for your insights about opportunities afforded by online learning   ,thank,positive
282,amidst the current inability to conduct or attend in person seminars or classroom settings  remote online courses a  ,inability,negative
283,  nmaahc  after the conclusion of the civil war   howardu was conceptualized as a theological seminary for the education of african ameri,,neutral
284, itonill  sam    joe biden joins the university of pennsylvania as the benjamin franklin presidential practi  ,,neutral
285,  alien musk  only essential services to be available  school college university all type of education is missing from the essential lis,available,positive
286,  citizenshipchal  our new education guide is suitable for esl ell and covers topics found on canadas citizenship test  download canada,suitable,positive
287,  nidkirm  this makes sense  even at an elite university like lums  all do not have equal access to technology  the ministry of education,"elite,like",positive
288,study in canada    southern collegiate is an inspected  private international secondary school focused on provi  ,,neutral
289,  daily press  hampton university is still requiring all faculty and staff to come to campus  ,,neutral
290,university of minnesota is hiring  tenure track special education  ,,neutral
291,generational encounters with higher education   the academicstudent relationship and the university experience  by  ,,neutral
292,ultimately  social distancing will protect our entire community  dr  bunny forgione  interim dean in the college o  ,protect,positive
293,nche revokes nsaka  kayiwa university licences   via  observerug,,neutral
294,our new education guide is suitable for esl ell and covers topics found on canadas citizenship test  download cana  ,suitable,positive
295, bbparis   nihfunding  nihdirector yes  investigators that have been affected by   e g  university closu  ,,neutral
296,  wtop  officials in lynchburg  va  are fielding complaints about hundreds of students who have returned from their spring break to libe,"break,complaints",negative
297,  ouplaw  to support institutions affected by covid   we are providing temporary free access to digital oup higher education texts and r,"free,support",positive
298,gallaudet university a   ldt  is a federally chartered private university for the education of the deaf and h  ,deaf,negative
299,due to classes being moved online this semester  fees that cover face to face services will be refunded on a pro ra  ,refunded,positive
300,coronavirus   la grande inscurit des tudiants trangers au canada       ,,neutral
301,can you recommend anyone for this job  assistant dean of student conduct  amp  community standards    ,recommend,positive
302,  mathmania     lot the balance sheet national business education quarterly magazine university       print ads advertisements,,neutral
303,  karlfrisch  i guess that s the difference between taking education and public health seriously vs  a university president putting stude,,neutral
304,  bodega gyro ao  i m pretty excited that i ll be pursuing a phd in the race  inequality  and language in education program at stanford u,"excited,pretty,inequality",positive
305,  hours  join us this friday at noon et for part two of our free virtual education series  cbd  amp  anxiety  got a qu  ,"free,anxiety",neutral
306,  logicalisasia   case study  national cheng kung university  ncku  built the first ai enabled virtual education platform in taiwan  with,,neutral
307,  historyintwits    miss adebonojo  a colonial student in britain at the university of london institute of education in    she won th,"won,miss",neutral
308,jin chi explains how coronavirus has disrupted lives and education in chinaand also increasing the role of online  ,,neutral
309,still disgusted  all they do is lie  the bills proposal plainly explains how  amp  why funds are allotted to the unive  ,"disgusted,lie",negative
